Case_ID,ReportDate,Case_Type,Crime_Type,Case_Status,Description
2059791359,1981-02-25,Low Profile,1,Trial due in 10 days,"Misuse of Identity of victim online, used identity for blackmailing people"
112796896,2000-02-04,Low Profile,2,Undergoing investigation,Over 10 months of voilence reported
1770121648,2014-01-26,Low Profile,3,Trial due in 7 days,"Girl sedated and kept under drug influence, was a minor"
2078708990,2014-11-20,Low Profile,4,Undergoing forensic investigation,"Homicide case registered by wife, accussed missing"
1030888538,1971-07-09,Low Profile,5,Case closed,"Boy, age 10 reported missing by parents in a crowded marketplace"
2014396273,2014-10-30,Low Profile,6,Bail issued to accused,"Man aged 25, accused of drinking under influence and destroying property"
1063440738,2020-02-29,Low Profile,1,FIR Registered,"Misuse of Identity of victim online, used identity for blackmailing people"
1882748570,1982-05-10,Low Profile,7,Trial completed,House destroyed post stealing
1849990972,1971-03-08,Low Profile,6,Jurisdiction Dispute,"Woman aged 25, accused of drinking under influence and destroying property"
201245644,1984-05-31,Low Profile,2,Second trial scheduled,"Trans man domestically abused by parents, and brother over peiod of 3 months at home"
1734298382,1979-08-17,Low Profile,1,Stay from the court issued,"Misuse of Identity of victim online, used identity for blackmailing people"
1185146397,1981-08-08,Low Profile,8,Extent of punishment declaration,"Alleged fraud case registered by the Income Tax Department, accussed ran overseas"
366668486,1976-09-22,Low Profile,5,Announcement of punishment and criminal sentenced,Girl aged 4 reported missing in marketplace
1417904974,1975-08-09,Low Profile,9,Case reported,Null
787504764,1982-01-27,High Profile,10,Investigation Officer appointed,Director of finance of Adad Group booked under corporate embezzlement and tax evasions
1968264326,1996-06-22,Low Profile,11,Investigation held,"Child aged 9, abused and traumatised,by the use of force"
1180751644,2008-08-12,Low Profile,12,Investigation Officer not appointed,"Boy aged 15 sexually assualted, neighbour key witness to the act"
1353927046,2020-04-10,Low Profile,13,Appeal to higher court,"Woman aged 29, domestically abused by husband over a period of 4 months"
571186029,1977-02-20,High Profile,14,Investigation transferred to CBI,Film actress Riya Raj age 21 commits suicide by hanging from ceiling fan
436518394,1992-06-29,High Profile,15,Out of the court settlement,Alleged tax evasion case registered by the Income Tax Department against Director of DLF Group
11073768,2016-11-01,Low Profile,3,Investigation transferred to subsidiary state,"Girl aged 20, abused and kept in influence of drug ecstasy"
616339776,2018-03-28,Low Profile,16,Accused under judicial custody,Null
1322986574,1997-08-04,Low Profile,11,Case closed,"Child aged 9, abused and traumatised,by the use of force"
1871282359,1992-04-16,Low Profile,16,Sentence issued and accused sent to jail,Alleged tax evasion case registered by the Income Tax Department against actress Mona Lavla
232750812,2010-10-28,Low Profile,17,Extent of punishment declaration,Girl kiddnapped from rural village and sexually assualted for a month
988349942,2010-12-23,High Profile,10,Extent of punishment declaration,Head of finance of Tres Group booked under corporate embezzlement and tax evasions
130508902,2008-12-08,High Profile,18,Announcement of punishment and criminal sentenced,"Wife of famous director Rg Singh, murdered in a painful assualt, suspects unidentified"
1253861202,2020-03-27,Low Profile,4,Trial due in 7 days,Homicide case registered against singer Raj Huii
652948431,1982-01-26,Low Profile,19,Trial completed,"Sedan, red colour was stolen from Dwarka region in Delhi"
1184058824,2013-09-09,Low Profile,5,Jurisdiction Dispute,"Woman aged 32, 5'3, reported missing by husband on a cruise ship"
1798500824,1995-01-30,High Profile,20,Extent of punishment declaration,Vandalism case registered against UP mogul Ram Ras Jr
253647023,1991-06-16,Low Profile,14,Case closed,"Girl age 24 commits suicide, highly pressurised under marriage"
1780622263,1980-06-16,Low Profile,21,Out of the court settlement,Illegal trade of firearms across the Bangladesh border
1718607292,1993-11-14,Low Profile,22,Bail from judicial custody issued to accused,Null
701749973,1993-07-14,Low Profile,11,Second trial scheduled,"Boy aged 3, abused and assualted by neighbour"
203205826,1970-07-11,Low Profile,23,Bail from judicial custody issued to accused,"Woman allegedly harassed at workplace by a group of 3 men, suffered mental trauma"
504566439,1991-11-17,High Profile,20,Third trial scheduled,Vandalism case registered against UP mogul Ram Ras
1299180096,1971-01-02,Low Profile,4,Case reported,Null
444608128,1985-06-02,Low Profile,2,Jurisdiction Dispute,"Woman aged 29, domestically abused by husband and son over a period of 4 months"
1073790061,1988-08-14,Low Profile,24,Second trial scheduled,"Man aged 33, murdered over ongoing disputes with family members, primry suspects unidentified"
1167231967,2009-05-18,High Profile,25,Stay from the court issued,Kekar group's assisatant of corporation booked in Corporate Embezzlement
